customerID,gender,SeniorCitizen,Partner,tenure,Contract,MonthlyCharges,TotalCharges,InternetService,TechSupport,Churn,churn_probability,risk_segment
7590-VHVEG,Female,No,Yes,1,Month-to-month,29.85,29.85,DSL,No,0,0.7486070076500317,High Risk
5575-GNVDE,Male,No,No,34,One year,56.95,1889.5,DSL,No,0,0.04312279204174211,Low Risk
3668-QPYBK,Male,No,No,2,Month-to-month,53.85,108.15,DSL,No,1,0.28542038969267297,Low Risk
7795-CFOCW,Male,No,No,45,One year,42.3,1840.75,DSL,Yes,0,0.05860649276213962,Low Risk
9237-HQITU,Female,No,No,2,Month-to-month,70.7,151.65,Fiber optic,No,1,0.8517646643529091,High Risk
9305-CDSKC,Female,No,No,8,Month-to-month,99.65,820.5,Fiber optic,No,1,0.8225177741323967,High Risk
1452-KIOVK,Male,No,No,22,Month-to-month,89.1,1949.4,Fiber optic,No,0,0.38189405438206925,Low Risk
6713-OKOMC,Female,No,No,10,Month-to-month,29.75,301.9,DSL,No,0,0.38554572156900135,Low Risk
7892-POOKP,Female,No,Yes,28,Month-to-month,104.8,3046.05,Fiber optic,Yes,1,0.5929402994320053,Medium Risk
6388-TABGU,Male,No,No,62,One year,56.15,3487.95,DSL,No,0,0.017632401428362556,Low Risk
9763-GRSKD,Male,No,Yes,13,Month-to-month,49.95,587.45,DSL,No,0,0.13206397407965612,Low Risk
7469-LKBCI,Male,No,No,16,Two year,18.95,326.8,No,No internet service,0,0.024009626690922752,Low Risk
8091-TTVAX,Male,No,Yes,58,One year,100.35,5681.1,Fiber optic,No,0,0.26923505091320177,Low Risk
0280-XJGEX,Male,No,No,49,Month-to-month,103.7,5036.3,Fiber optic,No,1,0.6775260209339967,Medium Risk
5129-JLPIS,Male,No,No,25,Month-to-month,105.5,2686.05,Fiber optic,Yes,0,0.3897831705612898,Low Risk
3655-SNQYZ,Female,No,Yes,69,Two year,113.25,7895.15,Fiber optic,Yes,0,0.02777896132046833,Low Risk
8191-XWSZG,Female,No,No,52,One year,20.65,1022.95,No,No internet service,0,0.014622159203123408,Low Risk
9959-WOFKT,Male,No,No,71,Two year,106.7,7382.25,Fiber optic,No,0,0.1633770068475303,Low Risk
4190-MFLUW,Female,No,Yes,10,Month-to-month,55.2,528.35,DSL,Yes,1,0.1684144079185374,Low Risk
4183-MYFRB,Female,No,No,21,Month-to-month,90.05,1862.9,Fiber optic,No,0,0.5970675563865263,Medium Risk
8779-QRDMV,Male,Yes,No,1,Month-to-month,39.65,39.65,DSL,No,1,0.8301867280841283,High Risk
1680-VDCWW,Male,No,Yes,12,One year,19.8,202.25,No,No internet service,0,0.13724448725250432,Low Risk
1066-JKSGK,Male,No,No,1,Month-to-month,20.15,20.15,No,No internet service,1,0.3914266466694937,Low Risk
3638-WEABW,Female,No,Yes,58,Two year,59.9,3505.1,DSL,Yes,0,0.009683033473362688,Low Risk
6322-HRPFA,Male,No,Yes,49,Month-to-month,59.6,2970.3,DSL,Yes,0,0.014350113780123897,Low Risk
6865-JZNKO,Female,No,No,30,Month-to-month,55.3,1530.6,DSL,No,0,0.2398636274876529,Low Risk
6467-CHFZW,Male,No,Yes,47,Month-to-month,99.35,4749.15,Fiber optic,No,1,0.4462349860354116,Medium Risk
8665-UTDHZ,Male,No,Yes,1,Month-to-month,30.2,30.2,DSL,No,1,0.5914907548292383,Medium Risk
5248-YGIJN,Male,No,Yes,72,Two year,90.25,6369.45,DSL,Yes,0,0.00916720040009364,Low Risk
8773-HHUOZ,Female,No,No,17,Month-to-month,64.7,1093.1,DSL,No,1,0.3663147484112665,Low Risk
3841-NFECX,Female,Yes,Yes,71,Two year,96.35,6766.95,Fiber optic,Yes,0,0.022294655351213714,Low Risk
4929-XIHVW,Male,Yes,Yes,2,Month-to-month,95.5,181.65,Fiber optic,No,0,0.8243556634006638,High Risk
6827-IEAUQ,Female,No,Yes,27,One year,66.15,1874.45,DSL,Yes,0,0.012513718932375408,Low Risk
7310-EGVHZ,Male,No,No,1,Month-to-month,20.2,20.2,No,No internet service,0,0.590648109019376,Medium Risk
3413-BMNZE,Male,Yes,No,1,Month-to-month,45.25,45.25,DSL,No,0,0.7777690954144806,High Risk
6234-RAAPL,Female,No,Yes,72,Two year,99.9,7251.7,Fiber optic,Yes,0,0.04271840606513633,Low Risk
6047-YHPVI,Male,No,No,5,Month-to-month,69.7,316.9,Fiber optic,No,1,0.7892317741685553,High Risk
6572-ADKRS,Female,No,No,46,Month-to-month,74.8,3548.3,Fiber optic,No,0,0.3435699622484686,Low Risk
5380-WJKOV,Male,No,No,34,Month-to-month,106.35,3549.25,Fiber optic,No,1,0.6984912267479545,Medium Risk
8168-UQWWF,Female,No,No,11,Month-to-month,97.85,1105.4,Fiber optic,No,1,0.8249589876960143,High Risk
8865-TNMNX,Male,No,Yes,10,One year,49.55,475.7,DSL,No,0,0.05953732506887798,Low Risk
9489-DEDVP,Female,No,Yes,70,Two year,69.2,4872.35,DSL,No,0,0.0063384959156317765,Low Risk
9867-JCZSP,Female,No,Yes,17,One year,20.75,418.25,No,No internet service,0,0.038636588469009914,Low Risk
4671-VJLCL,Female,No,No,63,Two year,79.85,4861.45,DSL,Yes,0,0.009411192733049849,Low Risk
4080-IIARD,Female,No,Yes,13,Month-to-month,76.2,981.45,DSL,Yes,0,0.22454722105172156,Low Risk
3714-NTNFO,Female,No,No,49,Month-to-month,84.5,3906.7,Fiber optic,No,0,0.6519188062348444,Medium Risk
5948-UJZLF,Male,No,No,2,Month-to-month,49.25,97.0,DSL,No,0,0.4316073320730185,Medium Risk
7760-OYPDY,Female,No,No,2,Month-to-month,80.65,144.15,Fiber optic,No,1,0.921087549407319,High Risk
7639-LIAYI,Male,No,No,52,Two year,79.75,4217.8,DSL,Yes,0,0.017001872109932537,Low Risk
2954-PIBKO,Female,No,Yes,69,Two year,64.15,4254.1,DSL,Yes,0,0.0032548919231565796,Low Risk
8012-SOUDQ,Female,Yes,No,43,Month-to-month,90.25,3838.75,Fiber optic,No,0,0.6022847565511875,Medium Risk
9420-LOJKX,Female,No,No,15,Month-to-month,99.1,1426.4,Fiber optic,No,1,0.4426587627531379,Medium Risk
6575-SUVOI,Female,Yes,Yes,25,Month-to-month,69.5,1752.65,DSL,Yes,0,0.13580092589740525,Low Risk
7495-OOKFY,Female,Yes,Yes,8,Month-to-month,80.65,633.3,Fiber optic,No,1,0.5684402857404398,Medium Risk
4667-QONEA,Female,Yes,Yes,60,One year,74.85,4456.35,DSL,Yes,0,0.006627116848420815,Low Risk
1658-BYGOY,Male,Yes,No,18,Month-to-month,95.45,1752.55,Fiber optic,No,1,0.7526896732200291,High Risk
8769-KKTPH,Female,No,Yes,63,One year,99.65,6311.2,Fiber optic,No,0,0.13615623135881066,Low Risk
5067-XJQFU,Male,Yes,Yes,66,One year,108.45,7076.35,Fiber optic,Yes,0,0.1198134861408671,Low Risk
3957-SQXML,Female,No,Yes,34,Two year,24.95,894.3,No,No internet service,0,0.010197345854953318,Low Risk
5954-BDFSG,Female,No,No,72,Two year,107.5,7853.7,Fiber optic,Yes,0,0.19093488503167336,Low Risk
0434-CSFON,Female,No,Yes,47,Month-to-month,100.5,4707.1,Fiber optic,No,0,0.7194863566276738,High Risk
1215-FIGMP,Male,No,No,60,Month-to-month,89.9,5450.7,Fiber optic,No,0,0.5826425188295371,Medium Risk
0526-SXDJP,Male,No,Yes,72,Two year,42.1,2962.0,DSL,No,0,0.008756789733003463,Low Risk
0557-ASKVU,Female,No,Yes,18,One year,54.4,957.1,DSL,Yes,0,0.043013739558763454,Low Risk
5698-BQJOH,Female,No,No,9,Month-to-month,94.4,857.25,Fiber optic,No,1,0.8249036562643632,High Risk
5122-CYFXA,Female,No,No,3,Month-to-month,75.3,244.1,DSL,Yes,0,0.513629515904991,Medium Risk
8627-ZYGSZ,Male,No,Yes,47,One year,78.9,3650.35,Fiber optic,No,0,0.14793117718671603,Low Risk
3410-YOQBQ,Female,No,No,31,Two year,79.2,2497.2,DSL,Yes,0,0.02465922527267298,Low Risk
3170-NMYVV,Female,No,Yes,50,Two year,20.15,930.9,No,No internet service,0,0.007728127811304517,Low Risk
7410-OIEDU,Male,No,No,10,Month-to-month,79.85,887.35,Fiber optic,No,0,0.288435386666483,Low Risk
2273-QCKXA,Male,No,No,1,Month-to-month,49.05,49.05,DSL,Yes,0,0.47401523341092877,Medium Risk
0731-EBJQB,Female,No,Yes,52,One year,20.4,1090.65,No,No internet service,0,0.011924658612997754,Low Risk
1891-QRQSA,Male,Yes,Yes,64,Two year,111.6,7099.0,Fiber optic,Yes,0,0.09198530062818107,Low Risk
8028-PNXHQ,Male,No,Yes,62,Two year,24.25,1424.6,No,No internet service,0,0.004691359395716311,Low Risk
5630-AHZIL,Female,No,No,3,Month-to-month,64.5,177.4,DSL,Yes,0,0.4504767637825019,Medium Risk
2673-CXQEU,Female,Yes,No,56,One year,110.5,6139.5,Fiber optic,No,0,0.2764029016000168,Low Risk
6416-JNVRK,Female,No,No,46,One year,55.65,2688.85,DSL,No,0,0.07759851536940876,Low Risk
5590-ZSKRV,Female,No,Yes,8,Month-to-month,54.65,482.25,DSL,No,0,0.09818589611274454,Low Risk
0191-ZHSKZ,Male,Yes,No,30,Month-to-month,74.75,2111.3,DSL,No,0,0.19731909825865487,Low Risk
3887-PBQAO,Female,No,Yes,45,One year,25.9,1216.6,No,No internet service,0,0.016714103731018573,Low Risk
5919-TMRGD,Female,No,No,1,Month-to-month,79.35,79.35,Fiber optic,No,1,0.9009060077334868,High Risk
8108-UXRQN,Female,No,Yes,11,Month-to-month,50.55,565.35,DSL,No,0,0.4608937321706468,Medium Risk
9191-MYQKX,Female,No,Yes,7,Month-to-month,75.15,496.9,Fiber optic,No,1,0.7767999858366067,High Risk
9919-YLNNG,Female,No,No,42,Month-to-month,103.8,4327.5,Fiber optic,Yes,0,0.5486925131696392,Medium Risk
0318-ZOPWS,Female,No,Yes,49,Two year,20.15,973.35,No,No internet service,0,0.01332744904197414,Low Risk
4445-ZJNMU,Male,No,No,9,Month-to-month,99.3,918.75,Fiber optic,No,0,0.6164228695198657,Medium Risk
4808-YNLEU,Female,No,Yes,35,One year,62.15,2215.45,DSL,No,0,0.1373689650206762,Low Risk
1862-QRWPE,Female,No,Yes,48,Two year,20.65,1057.0,No,No internet service,0,0.008759954248514777,Low Risk
2796-NNUFI,Female,No,Yes,46,Two year,19.95,927.1,No,No internet service,0,0.004350363185268239,Low Risk
3016-KSVCP,Male,No,Yes,29,Month-to-month,33.75,1009.25,DSL,No,0,0.2630860430656661,Low Risk
4767-HZZHQ,Male,No,Yes,30,Month-to-month,82.05,2570.2,Fiber optic,No,0,0.35724726868895823,Low Risk
2424-WVHPL,Male,Yes,No,1,Month-to-month,74.7,74.7,Fiber optic,Yes,0,0.8028596858299455,High Risk
7233-PAHHL,Male,No,Yes,66,Two year,84.0,5714.25,DSL,Yes,0,0.006490719762800716,Low Risk
6067-NGCEU,Female,No,No,65,Month-to-month,111.05,7107.0,Fiber optic,No,0,0.4843185989995615,Medium Risk
9848-JQJTX,Male,No,No,72,Two year,100.9,7459.05,Fiber optic,No,0,0.15298424165873786,Low Risk
8637-XJIVR,Female,No,No,12,Month-to-month,78.95,927.35,Fiber optic,No,1,0.5882466911196698,Medium Risk
9803-FTJCG,Male,No,Yes,71,One year,66.85,4748.7,DSL,Yes,0,0.00615602499310998,Low Risk
0278-YXOOG,Male,No,No,5,Month-to-month,21.05,113.85,No,No internet service,1,0.2911569610248152,Low Risk
3212-KXOCR,Male,No,No,52,Two year,21.0,1107.2,No,No internet service,0,0.01159677746036807,Low Risk
4598-XLKNJ,Female,Yes,Yes,25,Month-to-month,98.5,2514.5,Fiber optic,No,1,0.512139746017291,Medium Risk
6380-ARCEH,Male,No,No,1,Month-to-month,20.2,20.2,No,No internet service,0,0.39299591211523327,Low Risk
3679-XASPY,Female,No,Yes,1,Month-to-month,19.45,19.45,No,No internet service,0,0.37559808141292966,Low Risk
7123-WQUHX,Male,No,No,38,One year,95.0,3605.6,Fiber optic,Yes,0,0.3184922953530144,Low Risk
5386-THSLQ,Female,Yes,Yes,66,One year,45.55,3027.25,DSL,No,0,0.06454040489943155,Low Risk
3192-NQECA,Male,No,Yes,68,Two year,110.0,7611.85,Fiber optic,Yes,1,0.15322228317175543,Low Risk
6180-YBIQI,Male,No,No,5,Month-to-month,24.3,100.2,DSL,No,0,0.5940195778457138,Medium Risk
6728-DKUCO,Female,No,Yes,72,One year,104.15,7303.05,Fiber optic,No,0,0.15005591616863542,Low Risk
9750-BOOHV,Female,No,No,32,One year,30.15,927.65,DSL,No,0,0.07298199465770838,Low Risk
8597-CWYHH,Male,No,No,43,One year,94.35,3921.3,Fiber optic,No,0,0.31909757679930845,Low Risk
2848-YXSMW,Male,No,Yes,72,Two year,19.4,1363.25,No,No internet service,0,0.0007789535095768549,Low Risk
0486-HECZI,Male,No,Yes,55,Month-to-month,96.75,5238.9,Fiber optic,No,1,0.38766060160124877,Low Risk
4549-ZDQYY,Female,No,No,52,One year,57.95,3042.25,DSL,Yes,0,0.011540299281509521,Low Risk
5712-AHQNN,Female,No,No,43,Month-to-month,91.65,3954.1,Fiber optic,No,0,0.5682524832341783,Medium Risk
4846-WHAFZ,Female,Yes,Yes,37,Month-to-month,76.5,2868.15,Fiber optic,No,1,0.5768720911720653,Medium Risk
5256-SKJGO,Female,No,Yes,64,Two year,54.6,3423.5,DSL,Yes,0,0.015846340799196286,Low Risk
3071-VBYPO,Male,No,Yes,3,Month-to-month,89.85,248.4,Fiber optic,No,0,0.505810774832017,Medium Risk
9560-BBZXK,Female,No,No,36,Two year,31.05,1126.35,DSL,No,0,0.06548541398739582,Low Risk
5299-RULOA,Female,No,Yes,10,Month-to-month,100.25,1064.65,Fiber optic,No,1,0.5392727114299635,Medium Risk
8402-OOOHJ,Female,No,No,41,Two year,20.65,835.15,No,No internet service,0,0.01119722974802853,Low Risk
9445-ZUEQE,Male,No,Yes,27,Month-to-month,85.2,2151.6,Fiber optic,Yes,0,0.20232537781459614,Low Risk
1091-SOZGA,Female,No,Yes,56,One year,99.8,5515.45,Fiber optic,No,0,0.23210647788707128,Low Risk
2928-HLDBA,Female,No,No,6,Month-to-month,20.7,112.75,No,No internet service,0,0.3474309114204538,Low Risk
0404-SWRVG,Male,No,No,3,Month-to-month,74.4,229.55,Fiber optic,No,1,0.8094505388367225,High Risk
6497-TILVL,Female,No,Yes,7,Month-to-month,50.7,350.35,DSL,No,0,0.19208026565708017,Low Risk
7219-TLZHO,Female,No,Yes,4,Month-to-month,20.85,62.9,No,No internet service,0,0.26409138895103573,Low Risk
4622-YNKIJ,Male,No,No,33,Two year,88.95,3027.65,Fiber optic,Yes,0,0.050801799722278135,Low Risk
4412-YLTKF,Female,Yes,No,27,Month-to-month,78.05,2135.5,Fiber optic,No,1,0.5601920083517942,Medium Risk
6734-PSBAW,Male,No,Yes,72,Two year,23.55,1723.95,No,No internet service,0,0.004020091191172615,Low Risk
3930-ZGWVE,Male,No,No,1,Month-to-month,19.75,19.75,No,No internet service,0,0.378955641013928,Low Risk
